method,split,stress_level,success,ci95_success,containment_rate,ci95_containment_rate,cascade_rate,ci95_cascade_rate,state_corruption,ci95_state_corruption,subgoal_corruption,ci95_subgoal_corruption,damage_rate,ci95_damage_rate,false_halt,ci95_false_halt,missed_failure,ci95_missed_failure,recovery_success,ci95_recovery_success,escalation_precision,ci95_escalation_precision,containment_latency,ci95_containment_latency,ece,ci95_ece,regret,ci95_regret,utility,ci95_utility,groups
risk_calibrated_hierarchical_containment_v5,stress_02,0.25,0.863541,0.013152,0.663194,0.011831,0.035417,0.008536,0.00243,0.001452,0.001736,0.001522,0.00243,0.001039,0.003819,0.003119,0.076042,0.014506,0.570833,0.016175,0.738194,0.018822,0.448318,0.00047,0.003206,6.3e-05,0.061806,0.020361,0.865337,0.011486,10
risk_calibrated_hierarchical_containment_v5,stress_03,0.35,0.851389,0.013259,0.661111,0.016207,0.03125,0.007659,0.003472,0.001435,0.002083,0.001505,0.002083,0.001505,0.004861,0.002905,0.094444,0.012499,0.557986,0.013651,0.743403,0.019368,0.46777,0.000561,0.003229,4.1e-05,0.077778,0.017753,0.842862,0.016857,10
risk_calibrated_hierarchical_containment_v5,stress_04,0.45,0.846528,0.012984,0.664236,0.014877,0.034722,0.005916,0.003472,0.001757,0.00243,0.001772,0.002083,0.001505,0.005555,0.001815,0.1125,0.012516,0.55625,0.014589,0.736458,0.020021,0.486925,0.000681,0.003252,5.7e-05,0.077083,0.016415,0.824309,0.016539,10
risk_calibrated_hierarchical_containment_v5,stress_05,0.55,0.839236,0.008307,0.659028,0.014765,0.038889,0.00751,0.003819,0.001884,0.001736,0.001522,0.001389,0.001505,0.003819,0.002368,0.126389,0.009528,0.540278,0.015459,0.739236,0.018746,0.506282,0.000551,0.003195,5.4e-05,0.085764,0.007105,0.805416,0.013953,10
risk_calibrated_hierarchical_containment_v5,stress_06,0.65,0.83368,0.011543,0.649653,0.011851,0.039931,0.006356,0.002083,0.001505,0.001736,0.001522,0.000694,0.000907,0.005555,0.002079,0.136111,0.013791,0.532986,0.016017,0.738889,0.012622,0.525137,0.000338,0.003203,5.9e-05,0.088542,0.014463,0.791496,0.015195,10
risk_calibrated_hierarchical_containment_v5,stress_07,0.75,0.830208,0.016183,0.643403,0.009465,0.044444,0.009119,0.001389,0.001111,0.002778,0.001697,0.001042,0.001039,0.005903,0.002495,0.157639,0.012679,0.532292,0.014808,0.732639,0.0123,0.542813,0.000589,0.003217,4.6e-05,0.090972,0.016879,0.771258,0.019252,10
risk_calibrated_hierarchical_containment_v5,stress_08,0.85,0.824306,0.014138,0.645833,0.011875,0.048611,0.010145,0.000347,0.000681,0.001736,0.001522,0.001736,0.001134,0.007292,0.003721,0.163542,0.014995,0.527778,0.018374,0.717014,0.017403,0.558249,0.000569,0.003519,7.1e-05,0.082639,0.019297,0.756855,0.016765,10
risk_calibrated_hierarchical_containment_v5,stress_09,0.95,0.823958,0.013191,0.643403,0.014023,0.054861,0.011469,0.000694,0.000907,0.002083,0.001505,0.001389,0.001111,0.009028,0.003955,0.192361,0.014462,0.52257,0.015593,0.706597,0.013733,0.572878,0.000629,0.004609,8.4e-05,0.07118,0.019913,0.735437,0.018264,10
robust_mpc_fallback,stress_00,0.05,0.694444,0.01311,0.47743,0.015888,0.103125,0.010249,0.048611,0.008902,0.047917,0.007087,0.017014,0.004238,0.039236,0.005561,0.20868,0.019526,0.422222,0.009899,0.522569,0.014499,0.600071,0.000674,0.003966,8.1e-05,0.236458,0.021146,0.4514,0.014049,10
robust_mpc_fallback,stress_01,0.15,0.687847,0.0156,0.464236,0.01769,0.111806,0.010775,0.054167,0.007469,0.048611,0.009298,0.022917,0.004445,0.039583,0.004887,0.222222,0.012047,0.413889,0.012038,0.509028,0.023338,0.619434,0.000558,0.007148,0.000108,0.245833,0.020934,0.418019,0.011753,10
robust_mpc_fallback,stress_02,0.25,0.673958,0.011937,0.465625,0.019154,0.125347,0.007888,0.062153,0.010418,0.059722,0.01115,0.024306,0.005272,0.045139,0.004866,0.233681,0.016485,0.407639,0.014952,0.498264,0.013354,0.63902,0.000669,0.013488,0.000132,0.251389,0.015426,0.373144,0.010479,10
robust_mpc_fallback,stress_03,0.35,0.662153,0.017068,0.443056,0.020722,0.139236,0.008576,0.07118,0.009744,0.059375,0.012277,0.029514,0.006436,0.04375,0.003544,0.233681,0.01917,0.405903,0.016529,0.487847,0.0121,0.658297,0.000429,0.02147,9.3e-05,0.267014,0.022831,0.336888,0.019073,10
robust_mpc_fallback,stress_04,0.45,0.655556,0.010236,0.446875,0.021209,0.149653,0.010948,0.077778,0.009085,0.071528,0.010155,0.033333,0.003955,0.044444,0.004627,0.251736,0.019309,0.4,0.014554,0.467014,0.014534,0.677072,0.000488,0.030386,0.000132,0.268055,0.016384,0.29783,0.012492,10
robust_mpc_fallback,stress_05,0.55,0.651736,0.011833,0.444097,0.013666,0.155208,0.01323,0.074305,0.009254,0.077083,0.009232,0.039236,0.00968,0.048264,0.008017,0.276042,0.013808,0.394792,0.012006,0.467014,0.015461,0.696732,0.000619,0.039899,0.000116,0.273264,0.016947,0.266656,0.021531,10
robust_mpc_fallback,stress_06,0.65,0.640972,0.014952,0.442361,0.01863,0.170486,0.014926,0.079166,0.007646,0.089583,0.011011,0.038889,0.007646,0.057292,0.011032,0.298611,0.014347,0.393056,0.014554,0.473958,0.022781,0.715805,0.000665,0.04955,0.000205,0.28125,0.021232,0.220601,0.02636,10
robust_mpc_fallback,stress_07,0.75,0.630556,0.019573,0.432986,0.015686,0.174653,0.014385,0.079861,0.00994,0.094097,0.009487,0.046528,0.007605,0.065625,0.012444,0.319445,0.015218,0.401736,0.022089,0.48125,0.013991,0.73263,0.000554,0.059002,0.00016,0.290625,0.020965,0.180697,0.024973,10
robust_mpc_fallback,stress_08,0.85,0.625694,0.015776,0.420139,0.014526,0.179514,0.012673,0.08125,0.009582,0.103125,0.009465,0.051736,0.007486,0.063542,0.014877,0.336458,0.014857,0.390625,0.022233,0.479861,0.012582,0.747924,0.000795,0.068073,0.000136,0.28125,0.019142,0.150488,0.016967,10
robust_mpc_fallback,stress_09,0.95,0.609375,0.018013,0.419444,0.020412,0.188194,0.011379,0.089931,0.0153,0.10625,0.009142,0.046875,0.009088,0.068403,0.013801,0.353125,0.018927,0.380209,0.024689,0.469792,0.020036,0.76253,0.00066,0.077121,0.000153,0.285764,0.019647,0.113967,0.026466,10
