method,split,task,regime,mean_success,ci95_success,mean_containment_rate,ci95_containment_rate,mean_state_corruption,ci95_state_corruption,mean_cascade_rate,ci95_cascade_rate,mean_damage,ci95_damage,mean_false_halt,ci95_false_halt,mean_recovery_success,ci95_recovery_success,mean_escalation_precision,ci95_escalation_precision,mean_containment_latency,ci95_containment_latency,mean_recovery_cost,ci95_recovery_cost,mean_regret_to_oracle,ci95_regret_to_oracle,groups
flat_behavior_clone,mid_level_subgoal_shift,mobile_manip_delivery,actuator_slip,0.4337,0.0488,0.1718,0.0274,0.085,0.0276,0.148,0.0349,0.0731,0.0119,0.1361,0.0215,0.1718,0.0397,0.1623,0.0074,0.8944,0.0052,0.1755,0.0099,0.3044,0.048,7
flat_behavior_clone,mid_level_subgoal_shift,mobile_manip_delivery,contact_instability,0.3129,0.0359,0.1956,0.0466,0.1395,0.0232,0.216,0.0427,0.1378,0.0175,0.1361,0.0249,0.2007,0.032,0.1695,0.0096,0.942,0.0123,0.1769,0.0048,0.4252,0.0425,7
flat_behavior_clone,mid_level_subgoal_shift,mobile_manip_delivery,cross_level_cascading_failure,0.1803,0.0299,0.1769,0.0139,0.2449,0.0416,0.3095,0.0569,0.1105,0.0174,0.148,0.0238,0.2143,0.0378,0.154,0.0061,1.0561,0.0094,0.1707,0.0096,0.5578,0.0497,7
flat_behavior_clone,mid_level_subgoal_shift,mobile_manip_delivery,perception_glitch,0.4065,0.0418,0.1803,0.0271,0.1173,0.0454,0.1769,0.0369,0.068,0.0174,0.148,0.0352,0.2126,0.0219,0.1673,0.0053,0.8854,0.0089,0.1711,0.0062,0.352,0.056,7
flat_behavior_clone,mid_level_subgoal_shift,mobile_manip_delivery,precondition_drift,0.3401,0.0333,0.1956,0.0196,0.1837,0.0333,0.1854,0.0259,0.1003,0.0333,0.1429,0.0197,0.2296,0.0202,0.1587,0.0119,0.897,0.0106,0.1686,0.0063,0.4286,0.0494,7
flat_behavior_clone,mid_level_subgoal_shift,mobile_manip_delivery,recovery_budget_exhaustion,0.2857,0.0475,0.2007,0.0382,0.1956,0.0287,0.2313,0.0296,0.1003,0.0292,0.1259,0.0243,0.1871,0.0273,0.1558,0.0073,0.9605,0.009,0.1724,0.0062,0.4677,0.0651,7
flat_behavior_clone,mid_level_subgoal_shift,mobile_manip_delivery,subgoal_drift,0.2857,0.0381,0.1769,0.0299,0.2041,0.0303,0.2058,0.0333,0.0833,0.0356,0.1616,0.0287,0.1803,0.0257,0.1648,0.0072,0.9071,0.0073,0.1745,0.0044,0.4337,0.0658,7
flat_behavior_clone,mid_level_subgoal_shift,peg_assembly,actuator_slip,0.4337,0.0296,0.1684,0.0328,0.0731,0.0187,0.1548,0.0283,0.0901,0.0233,0.1548,0.0306,0.2007,0.023,0.1706,0.0096,0.9064,0.0166,0.1676,0.0071,0.3027,0.0278,7
flat_behavior_clone,mid_level_subgoal_shift,peg_assembly,contact_instability,0.3095,0.0283,0.1786,0.0244,0.1378,0.0349,0.1701,0.0237,0.1224,0.0325,0.1412,0.0262,0.1888,0.0328,0.1605,0.0123,0.9511,0.0148,0.1733,0.0061,0.4116,0.0526,7
flat_behavior_clone,mid_level_subgoal_shift,peg_assembly,cross_level_cascading_failure,0.1854,0.0227,0.1939,0.0313,0.2517,0.0328,0.2789,0.0391,0.1327,0.0351,0.148,0.0356,0.1905,0.0274,0.1643,0.0092,1.0589,0.0177,0.1735,0.0083,0.5357,0.0338,7
flat_behavior_clone,mid_level_subgoal_shift,peg_assembly,perception_glitch,0.4014,0.0313,0.1684,0.0303,0.1088,0.0262,0.1616,0.0341,0.0595,0.0125,0.1412,0.0139,0.2007,0.0276,0.1696,0.0083,0.8911,0.0129,0.1753,0.0044,0.3282,0.0305,7
flat_behavior_clone,mid_level_subgoal_shift,peg_assembly,precondition_drift,0.3299,0.0329,0.1769,0.0312,0.1752,0.0174,0.1769,0.0262,0.0782,0.0215,0.148,0.0345,0.182,0.0373,0.1584,0.0082,0.9028,0.023,0.177,0.0076,0.4422,0.0257,7
flat_behavior_clone,mid_level_subgoal_shift,peg_assembly,recovery_budget_exhaustion,0.2381,0.0353,0.1769,0.0257,0.2194,0.0367,0.25,0.048,0.085,0.0187,0.131,0.0334,0.2007,0.0276,0.1609,0.004,0.9626,0.009,0.1697,0.0052,0.4592,0.0404,7
flat_behavior_clone,mid_level_subgoal_shift,peg_assembly,subgoal_drift,0.2772,0.0258,0.1633,0.0359,0.2075,0.0203,0.1667,0.0204,0.0969,0.0172,0.1327,0.0148,0.2041,0.0267,0.1685,0.0088,0.9149,0.0087,0.1678,0.0047,0.4218,0.0413,7
flat_behavior_clone,mid_level_subgoal_shift,tool_use_sequence,actuator_slip,0.3929,0.0374,0.1837,0.0264,0.1054,0.0257,0.1582,0.0304,0.0731,0.0224,0.1684,0.0382,0.1837,0.0367,0.1644,0.009,0.9029,0.0104,0.1704,0.0061,0.3571,0.042,7
flat_behavior_clone,mid_level_subgoal_shift,tool_use_sequence,contact_instability,0.3299,0.0258,0.165,0.0172,0.1446,0.032,0.2041,0.0427,0.1139,0.019,0.148,0.0259,0.1854,0.0321,0.1648,0.0102,0.9406,0.0108,0.1695,0.0049,0.4082,0.0291,7
flat_behavior_clone,mid_level_subgoal_shift,tool_use_sequence,cross_level_cascading_failure,0.1871,0.0174,0.1786,0.0401,0.2398,0.0312,0.3095,0.0301,0.1259,0.0363,0.182,0.0258,0.1616,0.0305,0.1614,0.014,1.0525,0.0138,0.1676,0.0058,0.5272,0.0428,7
flat_behavior_clone,mid_level_subgoal_shift,tool_use_sequence,perception_glitch,0.4014,0.0273,0.1616,0.0313,0.119,0.021,0.1633,0.0208,0.0714,0.0161,0.1769,0.0299,0.1803,0.0362,0.1689,0.0145,0.8932,0.0151,0.1648,0.0072,0.3384,0.041,7
flat_behavior_clone,mid_level_subgoal_shift,tool_use_sequence,precondition_drift,0.3197,0.0252,0.1701,0.0174,0.1599,0.0112,0.2177,0.0232,0.0714,0.033,0.1429,0.0204,0.1735,0.0325,0.1688,0.0108,0.8983,0.0143,0.1715,0.0055,0.4303,0.0372,7
flat_behavior_clone,mid_level_subgoal_shift,tool_use_sequence,recovery_budget_exhaustion,0.2823,0.0282,0.1633,0.0167,0.1854,0.0321,0.2126,0.0372,0.0986,0.0366,0.1293,0.0303,0.1616,0.0287,0.1781,0.0172,0.9651,0.0067,0.169,0.0044,0.4524,0.0507,7
flat_behavior_clone,mid_level_subgoal_shift,tool_use_sequence,subgoal_drift,0.3146,0.0254,0.1786,0.0297,0.2262,0.0342,0.1769,0.018,0.0612,0.0257,0.1259,0.0215,0.182,0.0313,0.1682,0.0062,0.9023,0.0144,0.1757,0.0092,0.4031,0.0262,7
flat_behavior_clone,nominal,bimanual_handoff,actuator_slip,0.4592,0.0356,0.1939,0.0174,0.0816,0.0213,0.1463,0.0258,0.0663,0.0168,0.1156,0.0253,0.2381,0.0334,0.2222,0.0147,0.8352,0.0203,0.1766,0.0076,0.3163,0.0567,7
flat_behavior_clone,nominal,bimanual_handoff,contact_instability,0.4082,0.0413,0.2143,0.0314,0.1156,0.0159,0.1701,0.0333,0.0782,0.0238,0.0935,0.0276,0.2058,0.0477,0.2282,0.0089,0.8799,0.0077,0.1785,0.0067,0.3316,0.0533,7
flat_behavior_clone,nominal,bimanual_handoff,cross_level_cascading_failure,0.2704,0.0373,0.2058,0.04,0.1922,0.0236,0.2313,0.0305,0.1276,0.0141,0.1139,0.0292,0.1939,0.0296,0.2249,0.0118,0.9564,0.0087,0.1714,0.0042,0.4694,0.0384,7
flat_behavior_clone,nominal,bimanual_handoff,perception_glitch,0.5272,0.0573,0.2058,0.0377,0.0935,0.0172,0.1293,0.0241,0.0578,0.0139,0.0731,0.0219,0.2194,0.0472,0.2209,0.0125,0.8193,0.0091,0.1691,0.0047,0.2517,0.0661,7
flat_behavior_clone,nominal,bimanual_handoff,precondition_drift,0.4133,0.0291,0.1956,0.0337,0.1293,0.0307,0.1412,0.0164,0.0952,0.0239,0.1173,0.0236,0.233,0.0531,0.2216,0.0116,0.8429,0.0057,0.1732,0.0035,0.3452,0.0532,7
flat_behavior_clone,nominal,bimanual_handoff,recovery_budget_exhaustion,0.3554,0.0257,0.2109,0.034,0.1446,0.0236,0.2245,0.0267,0.0748,0.0214,0.0952,0.0265,0.2109,0.04,0.2268,0.0141,0.8873,0.0138,0.1724,0.0071,0.3963,0.0373,7
flat_behavior_clone,nominal,bimanual_handoff,subgoal_drift,0.3895,0.0337,0.1905,0.0279,0.1514,0.0278,0.1548,0.0265,0.0731,0.018,0.0986,0.0287,0.2313,0.0426,0.2235,0.0104,0.8424,0.0184,0.1755,0.006,0.3418,0.0587,7
flat_behavior_clone,nominal,drawer_retrieval,actuator_slip,0.4626,0.0473,0.1905,0.0244,0.0765,0.0283,0.1037,0.0237,0.051,0.0122,0.1429,0.0249,0.2245,0.0241,0.2226,0.0102,0.8403,0.0148,0.1754,0.0101,0.2534,0.0623,7
flat_behavior_clone,nominal,drawer_retrieval,contact_instability,0.4337,0.019,0.2279,0.0459,0.0918,0.0309,0.1412,0.0156,0.0986,0.0182,0.1037,0.0232,0.2041,0.0332,0.2272,0.0094,0.8695,0.0214,0.1675,0.0076,0.3486,0.0498,7
flat_behavior_clone,nominal,drawer_retrieval,cross_level_cascading_failure,0.3418,0.0425,0.199,0.0195,0.1837,0.0413,0.2466,0.0202,0.1122,0.016,0.0969,0.0156,0.1905,0.0269,0.2205,0.0138,0.9305,0.0153,0.1784,0.0044,0.3861,0.0734,7
flat_behavior_clone,nominal,drawer_retrieval,perception_glitch,0.4745,0.0436,0.2024,0.0388,0.0918,0.0174,0.1395,0.0208,0.0714,0.0244,0.0969,0.0257,0.1939,0.0278,0.2248,0.008,0.8154,0.016,0.1754,0.0081,0.3027,0.065,7
flat_behavior_clone,nominal,drawer_retrieval,precondition_drift,0.4456,0.0112,0.2041,0.0372,0.1293,0.0316,0.1276,0.0202,0.0544,0.0175,0.0884,0.0254,0.2143,0.0301,0.2313,0.0096,0.8131,0.0191,0.171,0.0054,0.3146,0.0196,7
flat_behavior_clone,nominal,drawer_retrieval,recovery_budget_exhaustion,0.3895,0.0359,0.2466,0.0455,0.1378,0.0278,0.1854,0.0301,0.0816,0.0206,0.0901,0.0283,0.2177,0.0333,0.2265,0.0143,0.8667,0.0138,0.1735,0.0073,0.369,0.0578,7
flat_behavior_clone,nominal,drawer_retrieval,subgoal_drift,0.4286,0.045,0.1939,0.038,0.1565,0.0465,0.1752,0.0317,0.0629,0.0214,0.085,0.02,0.2449,0.0264,0.2236,0.0126,0.8393,0.0108,0.1787,0.0076,0.3503,0.0578,7
flat_behavior_clone,nominal,mobile_manip_delivery,actuator_slip,0.4694,0.0254,0.2007,0.0351,0.0731,0.0262,0.1395,0.0329,0.0629,0.015,0.0833,0.021,0.2534,0.06,0.2256,0.0081,0.8339,0.0062,0.1676,0.0065,0.2908,0.0711,7
flat_behavior_clone,nominal,mobile_manip_delivery,contact_instability,0.4286,0.0458,0.2228,0.0344,0.0867,0.0263,0.1701,0.0195,0.0612,0.0139,0.1412,0.0271,0.2228,0.0159,0.23,0.0063,0.8694,0.0135,0.1792,0.0071,0.352,0.084,7
flat_behavior_clone,nominal,mobile_manip_delivery,cross_level_cascading_failure,0.3299,0.0419,0.1888,0.0312,0.1871,0.0359,0.2347,0.0232,0.0884,0.0243,0.0799,0.0189,0.2228,0.03,0.2295,0.011,0.9466,0.0181,0.1794,0.0033,0.4303,0.074,7
flat_behavior_clone,nominal,mobile_manip_delivery,perception_glitch,0.4915,0.0595,0.2262,0.0435,0.0799,0.0159,0.1259,0.0227,0.0748,0.0202,0.0952,0.0184,0.2466,0.0268,0.2292,0.008,0.8209,0.0113,0.1751,0.0087,0.2364,0.082,7
flat_behavior_clone,nominal,mobile_manip_delivery,precondition_drift,0.4218,0.0531,0.2075,0.0296,0.1156,0.0321,0.1701,0.0282,0.0731,0.0193,0.0969,0.0148,0.2313,0.0384,0.2321,0.0164,0.8199,0.0128,0.1783,0.0059,0.3469,0.0612,7
flat_behavior_clone,nominal,mobile_manip_delivery,recovery_budget_exhaustion,0.3912,0.0406,0.2313,0.0509,0.1344,0.0273,0.1752,0.0348,0.0629,0.0174,0.1139,0.0278,0.1973,0.0133,0.2315,0.0135,0.8798,0.0135,0.176,0.0097,0.352,0.064,7
flat_behavior_clone,nominal,mobile_manip_delivery,subgoal_drift,0.4099,0.0449,0.1956,0.041,0.1667,0.0322,0.165,0.0542,0.0918,0.0195,0.1173,0.0252,0.233,0.0387,0.231,0.0052,0.8328,0.0198,0.1816,0.0074,0.3248,0.0531,7
flat_behavior_clone,nominal,peg_assembly,actuator_slip,0.4507,0.0303,0.2024,0.0381,0.0578,0.0193,0.1429,0.0394,0.0663,0.019,0.1241,0.0233,0.267,0.0391,0.2236,0.0156,0.8411,0.0128,0.1754,0.0084,0.3214,0.0338,7
flat_behavior_clone,nominal,peg_assembly,contact_instability,0.4031,0.0312,0.2313,0.0333,0.1241,0.0203,0.1752,0.0313,0.085,0.0156,0.1054,0.0307,0.2364,0.0303,0.2167,0.0094,0.8807,0.0181,0.1785,0.0071,0.3418,0.0593,7
flat_behavior_clone,nominal,peg_assembly,cross_level_cascading_failure,0.3112,0.0518,0.2296,0.0348,0.1803,0.0271,0.2347,0.022,0.1054,0.0312,0.1037,0.0258,0.2007,0.0433,0.2239,0.0115,0.9498,0.0131,0.1731,0.0051,0.3963,0.0482,7
flat_behavior_clone,nominal,peg_assembly,perception_glitch,0.3997,0.0341,0.2245,0.0471,0.0952,0.0244,0.1429,0.0233,0.0544,0.0086,0.1276,0.0248,0.2109,0.0437,0.228,0.0059,0.8369,0.0116,0.1721,0.0079,0.3299,0.04,7
flat_behavior_clone,nominal,peg_assembly,precondition_drift,0.3724,0.0287,0.2211,0.0458,0.1429,0.0288,0.1752,0.0232,0.0765,0.0278,0.1054,0.0285,0.2245,0.0382,0.2305,0.0106,0.8389,0.0122,0.1854,0.0046,0.3537,0.0541,7
flat_behavior_clone,nominal,peg_assembly,recovery_budget_exhaustion,0.3214,0.0353,0.2177,0.0359,0.1633,0.0304,0.1973,0.0274,0.0918,0.0141,0.0969,0.0241,0.2109,0.0313,0.2271,0.008,0.8911,0.0062,0.1735,0.0033,0.398,0.0621,7
flat_behavior_clone,nominal,peg_assembly,subgoal_drift,0.3554,0.0358,0.2092,0.037,0.1327,0.0213,0.1599,0.0209,0.0884,0.0264,0.0969,0.0206,0.2126,0.0424,0.2203,0.0122,0.8431,0.0174,0.1738,0.0041,0.3759,0.0713,7
flat_behavior_clone,nominal,tool_use_sequence,actuator_slip,0.4337,0.0638,0.1786,0.0292,0.0697,0.0119,0.1088,0.0267,0.0578,0.0139,0.1105,0.0287,0.2449,0.0287,0.2233,0.0101,0.836,0.0106,0.1697,0.0047,0.3571,0.0832,7
flat_behavior_clone,nominal,tool_use_sequence,contact_instability,0.3946,0.0347,0.2126,0.0299,0.1105,0.0208,0.1633,0.0278,0.0901,0.0238,0.102,0.0243,0.2296,0.0443,0.2287,0.0155,0.8681,0.0131,0.176,0.0031,0.381,0.0656,7
flat_behavior_clone,nominal,tool_use_sequence,cross_level_cascading_failure,0.2585,0.0321,0.2058,0.0296,0.1752,0.0237,0.2347,0.0317,0.0867,0.0189,0.1173,0.0252,0.2551,0.0317,0.2276,0.0101,0.9553,0.009,0.1763,0.0046,0.4592,0.0463,7
flat_behavior_clone,nominal,tool_use_sequence,perception_glitch,0.5119,0.0578,0.2398,0.0307,0.1003,0.0377,0.131,0.0297,0.0561,0.0167,0.0799,0.0167,0.2415,0.038,0.2273,0.0069,0.8391,0.0119,0.1772,0.0058,0.2398,0.0523,7
flat_behavior_clone,nominal,tool_use_sequence,precondition_drift,0.3963,0.0434,0.1973,0.0384,0.1463,0.022,0.1293,0.049,0.0765,0.0233,0.1037,0.0291,0.2517,0.0213,0.2179,0.0056,0.827,0.0098,0.1719,0.006,0.318,0.0291,7
flat_behavior_clone,nominal,tool_use_sequence,recovery_budget_exhaustion,0.3724,0.0431,0.2126,0.0224,0.1395,0.0403,0.2279,0.0299,0.0765,0.0143,0.1293,0.0257,0.2109,0.0268,0.2281,0.0131,0.8878,0.0171,0.176,0.0058,0.3878,0.0313,7
flat_behavior_clone,nominal,tool_use_sequence,subgoal_drift,0.3929,0.0475,0.2568,0.0309,0.1378,0.0233,0.1769,0.0324,0.0867,0.0226,0.0986,0.0182,0.2398,0.0257,0.2192,0.0089,0.8375,0.0163,0.1765,0.0057,0.352,0.0488,7
hierarchy_without_containment,combined_cascade_stress,bimanual_handoff,actuator_slip,0.4422,0.0497,0.1922,0.0362,0.0969,0.032,0.1548,0.0072,0.0833,0.0216,0.1667,0.0338,0.182,0.0359,0.1814,0.0094,0.9951,0.0125,0.1788,0.0067,0.2806,0.0569,7
hierarchy_without_containment,combined_cascade_stress,bimanual_handoff,contact_instability,0.318,0.03,0.1786,0.0417,0.1633,0.0526,0.2432,0.0446,0.1156,0.0273,0.1786,0.0204,0.1684,0.0336,0.1836,0.0098,1.0639,0.0119,0.1739,0.0052,0.4269,0.0406,7
hierarchy_without_containment,combined_cascade_stress,bimanual_handoff,cross_level_cascading_failure,0.1139,0.0233,0.1497,0.0196,0.2687,0.0587,0.3844,0.0253,0.1276,0.0253,0.182,0.046,0.1735,0.016,0.1782,0.011,1.2184,0.0104,0.1714,0.0068,0.6071,0.0441,7
hierarchy_without_containment,combined_cascade_stress,bimanual_handoff,perception_glitch,0.4031,0.0523,0.1395,0.0355,0.1122,0.0309,0.2007,0.0193,0.0867,0.0122,0.1497,0.0123,0.1905,0.0342,0.1806,0.0082,0.9808,0.0217,0.1766,0.005,0.3588,0.0369,7
hierarchy_without_containment,combined_cascade_stress,bimanual_handoff,precondition_drift,0.3044,0.0477,0.199,0.0304,0.2092,0.0203,0.2415,0.0352,0.0935,0.0193,0.1939,0.0202,0.1565,0.0172,0.178,0.0134,1.0025,0.0157,0.1808,0.0055,0.4269,0.0479,7
hierarchy_without_containment,combined_cascade_stress,bimanual_handoff,recovery_budget_exhaustion,0.2109,0.0377,0.1735,0.0283,0.2092,0.0243,0.3061,0.0208,0.0969,0.0252,0.1735,0.036,0.1446,0.0262,0.1808,0.0138,1.0686,0.0145,0.1776,0.004,0.4728,0.0474,7
hierarchy_without_containment,combined_cascade_stress,bimanual_handoff,subgoal_drift,0.2789,0.0413,0.1735,0.0423,0.2364,0.0336,0.2364,0.0328,0.0646,0.0209,0.1718,0.0249,0.1803,0.0354,0.1817,0.0105,1.0107,0.0122,0.174,0.003,0.4252,0.0457,7
hierarchy_without_containment,combined_cascade_stress,drawer_retrieval,actuator_slip,0.4371,0.0317,0.1446,0.0236,0.0901,0.0287,0.1701,0.0437,0.0561,0.0122,0.1922,0.0285,0.1871,0.0377,0.1803,0.0094,0.963,0.0117,0.1763,0.0077,0.3095,0.0546,7
hierarchy_without_containment,combined_cascade_stress,drawer_retrieval,contact_instability,0.3571,0.0432,0.1395,0.0174,0.1463,0.0132,0.2466,0.0268,0.1105,0.0243,0.1684,0.0307,0.2024,0.0394,0.1822,0.0105,1.0257,0.0128,0.1791,0.0081,0.4031,0.0614,7
hierarchy_without_containment,combined_cascade_stress,drawer_retrieval,cross_level_cascading_failure,0.1463,0.0373,0.2126,0.0406,0.2432,0.0321,0.3997,0.037,0.1327,0.0362,0.165,0.02,0.1718,0.0407,0.1901,0.0083,1.186,0.0095,0.1755,0.0023,0.5561,0.0393,7
hierarchy_without_containment,combined_cascade_stress,drawer_retrieval,perception_glitch,0.4473,0.0321,0.1667,0.0283,0.1071,0.0274,0.1531,0.0241,0.068,0.0202,0.1667,0.0401,0.1548,0.0283,0.1815,0.0071,0.9532,0.0152,0.1705,0.0049,0.3231,0.0682,7
hierarchy_without_containment,combined_cascade_stress,drawer_retrieval,precondition_drift,0.3146,0.0475,0.1633,0.0278,0.1888,0.0362,0.2364,0.0351,0.0782,0.0416,0.1837,0.048,0.1565,0.0336,0.174,0.0102,0.9822,0.0179,0.1738,0.0077,0.4303,0.0547,7
hierarchy_without_containment,combined_cascade_stress,drawer_retrieval,recovery_budget_exhaustion,0.284,0.0462,0.1939,0.0366,0.2075,0.0221,0.3112,0.0559,0.1105,0.0195,0.1973,0.0209,0.1582,0.0355,0.1796,0.0104,1.0586,0.0166,0.1755,0.0028,0.4456,0.0821,7
hierarchy_without_containment,combined_cascade_stress,drawer_retrieval,subgoal_drift,0.3095,0.0461,0.1769,0.018,0.2364,0.0299,0.2585,0.0321,0.0867,0.0226,0.1701,0.0425,0.1667,0.0197,0.1838,0.0106,0.985,0.0104,0.1768,0.0035,0.4218,0.0677,7
hierarchy_without_containment,combined_cascade_stress,mobile_manip_delivery,actuator_slip,0.4558,0.0214,0.1922,0.0224,0.0748,0.022,0.1837,0.0491,0.0629,0.0232,0.1837,0.0274,0.2024,0.0349,0.1877,0.0117,0.9862,0.0145,0.1841,0.0065,0.2959,0.0339,7
hierarchy_without_containment,combined_cascade_stress,mobile_manip_delivery,contact_instability,0.3486,0.0466,0.1718,0.0333,0.131,0.0423,0.1854,0.0269,0.1156,0.0067,0.1803,0.0312,0.1837,0.0443,0.1791,0.0076,1.0586,0.0147,0.1798,0.0061,0.4116,0.0671,7
hierarchy_without_containment,combined_cascade_stress,mobile_manip_delivery,cross_level_cascading_failure,0.1207,0.0285,0.1616,0.0458,0.2925,0.0321,0.3588,0.0213,0.1446,0.0379,0.1837,0.0249,0.1735,0.0384,0.1881,0.0073,1.2156,0.0169,0.1775,0.0067,0.5765,0.0321,7
hierarchy_without_containment,combined_cascade_stress,mobile_manip_delivery,perception_glitch,0.4082,0.0566,0.1939,0.0329,0.1224,0.0377,0.1871,0.0282,0.0697,0.0303,0.1735,0.0496,0.1752,0.0524,0.1766,0.0079,0.9513,0.0115,0.1747,0.0071,0.3588,0.0643,7
hierarchy_without_containment,combined_cascade_stress,mobile_manip_delivery,precondition_drift,0.3163,0.0423,0.1956,0.0309,0.1922,0.0402,0.2517,0.0224,0.0935,0.0241,0.1718,0.0313,0.199,0.0278,0.1834,0.0095,0.985,0.0101,0.1762,0.0081,0.4303,0.0593,7
hierarchy_without_containment,combined_cascade_stress,mobile_manip_delivery,recovery_budget_exhaustion,0.2466,0.0377,0.2024,0.0216,0.1956,0.0287,0.2993,0.0552,0.1037,0.0202,0.1735,0.0317,0.1752,0.0321,0.1822,0.0107,1.0666,0.0184,0.1757,0.0041,0.4898,0.0523,7
hierarchy_without_containment,combined_cascade_stress,mobile_manip_delivery,subgoal_drift,0.284,0.0365,0.1752,0.0287,0.2279,0.0276,0.216,0.0164,0.0918,0.0111,0.182,0.04,0.1497,0.0287,0.1844,0.0054,1.0071,0.0129,0.1821,0.0079,0.4286,0.0407,7
hierarchy_without_containment,combined_cascade_stress,peg_assembly,actuator_slip,0.4269,0.0224,0.2143,0.0279,0.0901,0.0254,0.1905,0.0306,0.0697,0.0312,0.1616,0.0221,0.1701,0.0363,0.1788,0.0086,0.9899,0.0128,0.183,0.0063,0.2908,0.0506,7
hierarchy_without_containment,combined_cascade_stress,peg_assembly,contact_instability,0.3163,0.0349,0.1735,0.0426,0.1497,0.0283,0.2993,0.023,0.119,0.0279,0.165,0.0399,0.1922,0.0324,0.1848,0.0121,1.0641,0.0166,0.1746,0.0073,0.4252,0.0629,7
hierarchy_without_containment,combined_cascade_stress,peg_assembly,cross_level_cascading_failure,0.1412,0.0316,0.1786,0.033,0.2755,0.0412,0.369,0.045,0.1207,0.0312,0.1633,0.0387,0.1616,0.0283,0.1743,0.006,1.2101,0.0139,0.1737,0.0077,0.5731,0.0393,7
hierarchy_without_containment,combined_cascade_stress,peg_assembly,perception_glitch,0.4133,0.0671,0.1854,0.0333,0.1241,0.0203,0.2177,0.0208,0.0629,0.0122,0.1752,0.0383,0.2126,0.0343,0.177,0.0084,0.9782,0.0139,0.1786,0.0038,0.3316,0.0639,7
hierarchy_without_containment,combined_cascade_stress,peg_assembly,precondition_drift,0.2398,0.0379,0.1803,0.0465,0.1973,0.0296,0.2619,0.0239,0.131,0.0204,0.1769,0.0236,0.1531,0.0382,0.1865,0.0102,0.9883,0.0142,0.1704,0.0049,0.5136,0.0629,7
hierarchy_without_containment,combined_cascade_stress,peg_assembly,recovery_budget_exhaustion,0.2364,0.043,0.1633,0.0383,0.2126,0.0312,0.3027,0.0363,0.1071,0.021,0.1888,0.0267,0.1548,0.0314,0.1813,0.0101,1.0941,0.0156,0.1796,0.0045,0.483,0.0349,7
hierarchy_without_containment,combined_cascade_stress,peg_assembly,subgoal_drift,0.284,0.0299,0.1837,0.0356,0.2092,0.0377,0.2517,0.0396,0.0935,0.0343,0.1599,0.0254,0.182,0.0373,0.1845,0.0079,1.0028,0.0134,0.1796,0.0064,0.398,0.0363,7
hierarchy_without_containment,combined_cascade_stress,tool_use_sequence,actuator_slip,0.4269,0.0442,0.1905,0.0338,0.102,0.0238,0.2024,0.0279,0.0731,0.02,0.1718,0.0168,0.1735,0.0259,0.1807,0.0088,0.9756,0.0159,0.176,0.0054,0.3316,0.0451,7
hierarchy_without_containment,combined_cascade_stress,tool_use_sequence,contact_instability,0.3078,0.0257,0.1786,0.0244,0.1446,0.0262,0.2415,0.0296,0.0884,0.0238,0.1667,0.0176,0.1854,0.0152,0.189,0.0116,1.0539,0.0177,0.1759,0.0057,0.4354,0.0301,7
hierarchy_without_containment,combined_cascade_stress,tool_use_sequence,cross_level_cascading_failure,0.1293,0.0339,0.1395,0.0291,0.2687,0.0356,0.3878,0.0426,0.1463,0.0366,0.1837,0.0227,0.1412,0.0369,0.1893,0.0084,1.214,0.0127,0.1739,0.0066,0.5884,0.0677,7
hierarchy_without_containment,combined_cascade_stress,tool_use_sequence,perception_glitch,0.4116,0.0325,0.1854,0.0227,0.1327,0.0476,0.182,0.0248,0.0799,0.0296,0.1548,0.0353,0.1701,0.0282,0.189,0.0098,0.9632,0.0109,0.1765,0.0077,0.318,0.0718,7
hierarchy_without_containment,combined_cascade_stress,tool_use_sequence,precondition_drift,0.3078,0.0236,0.182,0.037,0.2058,0.0496,0.2041,0.0354,0.0833,0.0249,0.1803,0.0328,0.1616,0.0429,0.1864,0.0099,0.9931,0.0118,0.1706,0.007,0.4405,0.0204,7
hierarchy_without_containment,combined_cascade_stress,tool_use_sequence,recovery_budget_exhaustion,0.2041,0.032,0.1701,0.0208,0.1871,0.049,0.3299,0.0419,0.1037,0.0132,0.1871,0.0344,0.1548,0.0391,0.1775,0.0095,1.0819,0.0151,0.1741,0.0063,0.5476,0.0455,7
hierarchy_without_containment,combined_cascade_stress,tool_use_sequence,subgoal_drift,0.3044,0.0496,0.1735,0.0203,0.2109,0.0258,0.2449,0.0317,0.0918,0.0273,0.1837,0.0363,0.1888,0.0299,0.1842,0.0099,0.9993,0.0138,0.1809,0.008,0.4473,0.0593,7
hierarchy_without_containment,delayed_escalation,bimanual_handoff,actuator_slip,0.4252,0.0397,0.1939,0.0449,0.1105,0.0111,0.1667,0.026,0.0697,0.023,0.1565,0.0362,0.1684,0.0213,0.2137,0.0128,0.9553,0.0155,0.1848,0.0049,0.3452,0.0656,7
hierarchy_without_containment,delayed_escalation,bimanual_handoff,contact_instability,0.3861,0.0221,0.2109,0.0278,0.1327,0.0262,0.1956,0.0196,0.1003,0.0254,0.148,0.0175,0.1667,0.0401,0.2073,0.0114,1.0115,0.0087,0.1756,0.0052,0.3384,0.0341,7
hierarchy_without_containment,delayed_escalation,bimanual_handoff,cross_level_cascading_failure,0.1854,0.0391,0.2177,0.0214,0.2721,0.0267,0.3452,0.036,0.1224,0.0248,0.1259,0.0287,0.1259,0.0381,0.2141,0.0063,1.1598,0.0098,0.18,0.0055,0.5187,0.0793,7
