ablation,seed,success,containment_rate,cascade_rate,state_corruption,subgoal_corruption,damage_rate,false_halt,missed_failure,recovery_success,escalation_precision,containment_latency,ece,regret,utility,groups
no_escalation_utility_model,6,0.775174,0.598958,0.082465,0.017361,0.015625,0.002604,0.017361,0.201389,0.484375,0.612847,0.582531,0.006694,0.064606,0.635917,192
no_escalation_utility_model,7,0.771701,0.583333,0.06684,0.012153,0.027778,0.000868,0.023438,0.181424,0.460938,0.638889,0.583225,0.006891,0.064589,0.645387,192
no_escalation_utility_model,8,0.766493,0.603299,0.067708,0.015625,0.020833,0.00434,0.020833,0.190972,0.490451,0.595486,0.582969,0.00679,0.064606,0.636451,192
no_escalation_utility_model,9,0.75,0.638021,0.070312,0.015625,0.015625,0.001736,0.019965,0.197917,0.499132,0.615451,0.584089,0.006802,0.064727,0.625596,192
no_false_halt_calibration,0,0.782118,0.601562,0.059896,0.005208,0.008681,0.002604,0.085938,0.172743,0.491319,0.649306,0.561889,0.009853,0.047714,0.653543,192
no_false_halt_calibration,1,0.786458,0.630208,0.049479,0.008681,0.007812,0.001736,0.087674,0.181424,0.512153,0.690972,0.562118,0.009783,0.048279,0.66521,192
no_false_halt_calibration,2,0.789931,0.603299,0.060764,0.009549,0.011285,0.000868,0.092882,0.164931,0.492188,0.686632,0.561822,0.00985,0.048936,0.661457,192
no_false_halt_calibration,3,0.782986,0.637153,0.050347,0.007812,0.011285,0.006076,0.084201,0.16059,0.503472,0.690104,0.56267,0.009704,0.047469,0.666639,192
no_false_halt_calibration,4,0.772569,0.628472,0.051215,0.009549,0.003472,0.001736,0.091146,0.1875,0.492188,0.680556,0.562107,0.009886,0.048203,0.645426,192
no_false_halt_calibration,5,0.790799,0.601562,0.064236,0.003472,0.009549,0.003472,0.094618,0.173611,0.494792,0.692708,0.56186,0.009606,0.048083,0.65703,192
no_false_halt_calibration,6,0.796007,0.605903,0.064236,0.008681,0.012153,0.003472,0.103299,0.178819,0.512153,0.693576,0.561905,0.009786,0.047949,0.6537,192
no_false_halt_calibration,7,0.777778,0.638021,0.056424,0.001736,0.006076,0.002604,0.095486,0.171007,0.512153,0.662326,0.562535,0.009914,0.048290,0.656764,192
no_false_halt_calibration,8,0.783854,0.62066,0.055556,0.006944,0.010417,0.002604,0.092014,0.181424,0.502604,0.65625,0.562501,0.009954,0.048451,0.65256,192
no_false_halt_calibration,9,0.793403,0.625,0.059028,0.008681,0.005208,0.001736,0.092882,0.167535,0.506076,0.647569,0.562132,0.009705,0.047765,0.668739,192
no_local_containment_graph,0,0.737847,0.452257,0.092882,0.018229,0.036458,0.008681,0.006076,0.276042,0.483507,0.71441,0.69785,0.003725,0.103731,0.517219,192
no_local_containment_graph,1,0.710938,0.457465,0.098958,0.025174,0.046007,0.006944,0.00434,0.258681,0.483507,0.698785,0.698292,0.003622,0.104208,0.48881,192
no_local_containment_graph,2,0.735243,0.444444,0.087674,0.025174,0.036458,0.006944,0.006944,0.230903,0.480035,0.681424,0.698921,0.003687,0.103866,0.533703,192
no_local_containment_graph,3,0.752604,0.446181,0.101562,0.03125,0.037326,0.013021,0.00434,0.256944,0.452257,0.701389,0.698329,0.003752,0.104808,0.520713,192
no_local_containment_graph,4,0.703993,0.461806,0.105903,0.024306,0.036458,0.008681,0.007812,0.249132,0.489583,0.693576,0.698569,0.003732,0.104571,0.484077,192
no_local_containment_graph,5,0.722222,0.46875,0.103299,0.023438,0.036458,0.013021,0.005208,0.238715,0.493056,0.708333,0.698584,0.003752,0.103513,0.507358,192
no_local_containment_graph,6,0.723958,0.452257,0.095486,0.03559,0.028646,0.010417,0.005208,0.256944,0.462674,0.6875,0.698648,0.003731,0.103655,0.500577,192
no_local_containment_graph,7,0.725694,0.447049,0.096354,0.028646,0.030382,0.009549,0.006944,0.250868,0.487847,0.6875,0.69867,0.003762,0.104006,0.508879,192
no_local_containment_graph,8,0.736979,0.440972,0.079861,0.030382,0.03559,0.006944,0.007812,0.272569,0.496528,0.662326,0.697829,0.003753,0.104368,0.518457,192
no_local_containment_graph,9,0.734375,0.461806,0.116319,0.025174,0.03559,0.007812,0.007812,0.230035,0.460069,0.66059,0.699162,0.003718,0.104137,0.514094,192
no_recovery_budget_memory,0,0.771701,0.604167,0.113715,0.009549,0.013021,0.000868,0.009549,0.190972,0.428819,0.675347,0.585613,0.005475,0.076649,0.626488,192
no_recovery_budget_memory,1,0.746528,0.618924,0.092882,0.014757,0.011285,0.000868,0.005208,0.192708,0.444444,0.657986,0.585809,0.005395,0.077040,0.615221,192
no_recovery_budget_memory,2,0.763889,0.573785,0.099826,0.010417,0.013889,0.003472,0.013021,0.193576,0.439236,0.659722,0.585259,0.005498,0.076804,0.617889,192
no_recovery_budget_memory,3,0.740451,0.608507,0.09809,0.011285,0.010417,0.002604,0.012153,0.202257,0.420139,0.664931,0.58537,0.005308,0.076959,0.596484,192
no_recovery_budget_memory,4,0.763889,0.603299,0.099826,0.008681,0.017361,0.001736,0.002604,0.206597,0.444444,0.664931,0.585592,0.005372,0.076610,0.621291,192
